Title,CAS Number,Use(s),Date Listed,Type of Toxicity,Listing Mechanism
"   Infant boys, age 29 days to 24 monthsb",,,,,
"   Infant boys, age 29 days to 24 monthsb",,,,,
"   Neonatal infant boys, age 0 to 28 daysb",,,,,
"   Neonatal infant boys, age 0 to 28 daysb",,,,,
Diethylstilbestrol (DES) ,,,27-Feb-87,cancer,LC
Diethylstilbestrol (DES) ,,,01-Jul-87,developmental,FR
Diethyl sulfate,,,01-Jan-88,cancer,SQE
"Diglycidyl ether Delisted April 4, 2014 [Click here for the basis for delisting]",,,07-Aug-09,male ,LC
Diglycidyl resorcinol ether (DGRE),,,01-Jul-89,cancer,SQE
Dihydroergotamine mesylate ,,,01-May-97,developmental ,FR
Di-isodecyl phthalate (DIDP),,,20-Apr-07,developmental ,AB
Diisononyl phthalate (DINP),,,20-Dec-13,cancer,SQE
Diisopropyl sulfate,,,01-Apr-93,cancer,AB
Diltiazem hydrochloride ,,,27-Feb-01,developmental ,FR
"3,3'-Dimethoxybenzidine (o-Dianisidine)",,,01-Jan-88,cancer,SQE
"3,3'-Dimethoxybenzidine dihydrochloride",,,01-Oct-90,cancer,AB
"N,N-Dimethylacetamide [Click here for the basis for addition of male reproductive endpoint, effective December 20, 2013]",,,21-May-10,"developmental, male ",SQE
"trans-2-[(Dimethylamino)methylimino]-5-[2-(5-nitro-2-furyl)vinyl]-1,3,4-oxadiazole",,,01-Jan-88,cancer,SQE
"3,3'-Dimethylbenzidine (ortho-Tolidine)",,,01-Jan-88,cancer,SQE
"3,3'-Dimethylbenzidine dihydrochloride",,,01-Apr-92,cancer,AB
Dimethylcarbamoyl chloride,,,01-Jan-88,cancer,SQE
"N,N-Dimethylformamide",,,27-Oct-17,cancer,LC
"1,1-Dimethylhydrazine (UDMH)",,,01-Oct-89,cancer,LC
"2,6-Dimethyl-N-nitrosomorpholine (DMNM)",,,08-Feb-13,cancer,SQE
Dimethyl sulfate,,,01-Jan-88,cancer,SQE
Di-n-butyl phthalate (DBP),,,02-Dec-05,"developmental, female, male ",AB
Di-n-hexyl phthalate (DnHP),,,02-Dec-05,"female, male ",AB
Dinitrotoluene (technical grade),,,20-Aug-99,"female, male ",AB
"Dinitrotoluene mixture, 2,4-/2,6-",,,01-May-96,cancer,AB
Di-n-propyl isocinchomeronate (MGK Repellent 326),,,01-May-96,cancer,AB
Diphenylhydantoin (Phenytoin),,,01-Jan-88,cancer,SQE
Diphenylhydantoin (Phenytoin),,,01-Jul-87,developmental,SQE
"Diphenylhydantoin (Phenytoin), sodium salt",,,01-Jan-88,cancer,SQE
Direct Black 38 (technical grade),,,01-Jan-88,cancer,SQE
Direct Blue 6 (technical grade),,,01-Jan-88,cancer,SQE
Direct Brown 95 (technical grade),,,01-Oct-88,cancer,SQE
Disodium cyanodithioimidocarbonate,,,30-Mar-99,developmental ,AB
Disperse Blue 1,,,01-Oct-90,cancer,AB
Doxorubicin hydrochloride (Adriamycin),,,01-Jul-87,cancer,SQE
Doxorubicin hydrochloride (Adriamycin),,,29-Jan-99,"developmental, male ",FR
Doxycycline (internal use),,,01-Jul-90,developmental,FR
Doxycycline calcium (internal use),,,01-Jan-92,developmental,FR
Doxycycline hyclate (internal use),,,01-Oct-91,developmental,FR
Doxycycline monohydrate (internal use),,,01-Oct-91,developmental,FR
"2,4-DP (dichloroprop)  Delisted January 25, 2002 [Click here for the basis for delisting]",,,27-Apr-99,developmental ,AB
Endrin ,,,15-May-98,developmental ,AB
Environmental tobacco smoke (ETS),,,09-Jun-06,developmental,SQE
Ergotamine tartrate ,,,01-Apr-90,developmental,FR
"Estrogens, steroidal",,,19-Aug-05,cancer,LC
Estrogen-progestogen (combined) used as menopausal therapy,,,04-Nov-11,cancer,LC
Estropipate ,,,26-Aug-97,"cancer, developmental ",FR
Ethionamide ,,,26-Aug-97,developmental,FR
Ethyl acrylate,,,01-Jul-89,cancer,SQE
"Ethyl-tert-butyl ether  Delisted December 13, 2013 [Click here for the basis for delisting]",,,18-Dec-09,male ,LC
Ethyl dipropylthiocarbamate ,,,27-Apr-99,developmental ,AB
"Ethyl-4,4'-dichlorobenzilate",,,01-Jan-90,cancer,AB
Ethylene dibromide ,,,01-Jul-87,cancer,FR
Ethylene dibromide ,,,15-May-98,"developmental, male ",AB
"Ethylene dichloride (1,2-Dichloroethane)",,,01-Oct-87,cancer,SQE
Ethylene glycol (ingested),,,19-Jun-15,developmental,AB
Ethylene glycol monoethyl ether,,,01-Jan-89,"developmental, male",SQE
Ethylene glycol monoethyl ether acetate,,,01-Jan-93,"developmental, male",AB
Ethylene glycol monomethyl ether,,,01-Jan-89,"developmental, male",SQE
Ethylene glycol monomethyl ether acetate,,,01-Jan-93,"developmental, male",AB
Ethyleneimine (Aziridine),,,01-Jan-88,cancer,SQE
Ethylene oxide,,,01-Jul-87,cancer,FR
"Ethylene oxide [Basis for listing changed effective November 22, 2013]",,,27-Feb-87,female,FR
"Ethylene oxide [Basis for listing changed effective November 22, 2013]",,,07-Aug-09,"developmental, male ",FR
Ethylene thiourea,,,01-Jan-88,cancer,AB
Ethylene thiourea,,,01-Jan-93,developmental,SQE
"2-Ethylhexanoic acid  Delisted December 13, 2013 [Click here for the basis for delisting]",,,07-Aug-09,developmental ,LC
Ethyl methanesulfonate,,,01-Jan-88,cancer,SQE
Fenoxaprop ethyl,,,26-Mar-99,developmental ,AB
Fluazifop butyl,,,06-Nov-98,developmental ,AB
Flurazepam hydrochloride,,,01-Oct-92,developmental,FR
Fluticasone propionate,,,15-May-98,developmental ,FR
Formaldehyde (gas),,,01-Jan-88,cancer,SQE
2-(2-Formylhydrazino)-4-(5-nitro-2-furyl)thiazole,,,01-Jan-88,cancer,SQE
Furfuryl alcohol,,,30-Sep-16,cancer,AB
Gallium arsenide,,,01-Aug-08,cancer ,LC
Ganciclovir sodium,,,26-Aug-97,"developmental, male ",FR
Gentian violet (Crystal violet),,,23-Nov-18,cancer,SQE
"Glu-P-1 (2-Amino-6-methyldipyrido[1,2- a:3',2'-d]imidazole)",,,01-Jan-90,cancer,AB
Goserelin acetate,,,26-Aug-97,"developmental, female, male ",FR
Gyromitrin (Acetaldehyde methylformylhydrazone),,,01-Jan-88,cancer,SQE
Halobetasol propionate,,,20-Aug-99,developmental ,FR
Heptachlor epoxide,,,01-Jul-88,cancer,SQE
Hexachlorocyclohexane (technical grade),,,01-Oct-87,cancer,SQE
   Hexachlorocyclohexane (alpha isomer),,,,,
   Hexachlorocyclohexane (beta isomer),,,,,
   Hexachlorocyclohexane (gamma isomer),,,,,
Hexachlorodibenzodioxin,,,01-Apr-88,cancer,SQE
"Hexafluoroacetone [Basis for listing changed effective June 6, 2014]",,,01-Aug-08,"developmental, male",LC SQE
Histrelin acetate,,,15-May-98,developmental ,FR
"Hydrazobenzene (1,2-Diphenylhydrazine)",,,01-Jan-88,cancer,SQE
Hydrogen cyanide (HCN) and cyanide salts (CN salts),,,05-Jul-13,male,AB
  Cyanide salts that readily dissociate in solution (expressed as cyanide)f,,,,,
  Hydrogen cyanidef,,,,,
  Sodium cyanidef,,,,,
  Potassium cyanidef,,,,,
Idarubicin hydrochloride,,,20-Aug-99,"developmental, male ",FR
"Indeno[1,2,3-cd]pyrene",,,01-Jan-88,cancer,SQE
Indium phosphide,,,27-Feb-01,cancer ,AB
"IQ (2-Amino-3-methylimidazo[4,5-f] quinoline) ",,,01-Apr-90,cancer,AB
Iron dextran complex,,,01-Jan-88,cancer,SQE
Isobutyl nitrite,,,01-May-96,cancer,AB
"Isosafrole Delisted December 8, 2006 [Click here for the basis for delisting]",,,01-Oct-89,cancer,LC    
Isotretinoin ,,,01-Jul-87,developmental,SQE
"Lead [Basis for listing changed effective November 22, 2013]",,,27-Feb-87,"developmental, female, male",FR
Lead and lead compounds,,,01-Oct-92,cancer,AB
   Lead,,,,,
Lead acetate,,,01-Jan-88,cancer,SQE
Lead phosphate,,,01-Apr-88,cancer,SQE
Lead subacetate,,,01-Oct-89,cancer,LC
Leather dust,,,29-Apr-11,cancer,LC
Leuprolide acetate,,,26-Aug-97,"developmental, female, male ",FR
Levonorgestrel implants,,,15-May-98,female ,FR
Lithium carbonate,,,01-Jan-91,developmental,FR
Lithium citrate,,,01-Jan-91,developmental,FR
"Malonaldehyde, sodium salt",,,03-May-11,cancer,AB
Marijuana smoke,,,19-Jun-09,cancer,SQE
"Me-A-alpha-C (2-Amino-3-methyl-9H-pyrido[2,3-b]indole)",,,01-Jan-90,cancer,AB
Medroxyprogesterone acetate,,,01-Jan-90,cancer,AB
Medroxyprogesterone acetate,,,01-Apr-90,developmental,FR
Megestrol acetate,,,28-Mar-14,cancer,FR
Megestrol acetate,,,01-Jan-91,developmental,FR
2?Mercaptobenzothiazole,,,27-Oct-17,cancer,LC
Mercury and mercury compounds,,,01-Jul-90,developmental,AB
Metam potassium,,,31-Dec-10,cancer,AB
Methacycline hydrochloride,,,01-Jan-91,developmental,FR
Metham sodium,,,06-Nov-98,cancer ,AB
Metham sodium,,,15-May-98,developmental ,AB
Methotrexate sodium,,,01-Apr-90,developmental,FR
2-Methylaziridine (Propyleneimine),,,01-Jan-88,cancer,SQE
Methylazoxymethanol acetate,,,01-Apr-88,cancer,SQE
"Methyl bromide, as a structural fumigant",,,01-Jan-93,developmental,FR
Methyl carbamate,,,15-May-98,cancer ,AB
Methyl chloride,,,10-Mar-00,developmental ,AB
"Methyl chloride [Basis for listing changed effective March 7, 2014]",,,07-Aug-09,male ,AB
"4,4'-Methylene bis(N,N-dimethyl)benzenamine",,,01-Oct-89,cancer,LC
"4,4'-Methylenedianiline",,,01-Jan-88,cancer,SQE
"4,4'-Methylenedianiline dihydrochloride",,,01-Jan-88,cancer,SQE
Methylhydrazine and its salts,,,01-Jul-92,cancer,AB
Methylhydrazine sulfate,,,,,
Methyl iodide,,,01-Apr-88,cancer,SQE
Methyl isobutyl ketone,,,04-Nov-11,cancer,LC
Methyl isobutyl ketone (MIBK),,,28-Mar-14,developmental,AB
Methyl isocyanate (MIC),,,12-Nov-10,"developmental, female ",SQE
"Methyl isopropyl ketone Delisted April 4, 2014 [Click for the basis for delisting]",,,17-Feb-12,developmental,LC
Methyl mercury,,,01-Jul-87,developmental,SQE
Methylmercury compounds,,,01-May-96,cancer,AB
Methyl methanesulfonate,,,01-Apr-88,cancer,SQE
Methyl-n-butyl ketone,,,04-Dec-15,developmental,SQE
"Methyl-n-butyl ketone [Basis for listing changed effective November 9, 2015]",,,07-Aug-09,male ,SQE
N-Methyl-N'-nitro-N-nitrosoguanidine,,,01-Apr-88,cancer ,SQE
N-Methylolacrylamide,,,01-Jul-90,cancer,AB
?-Methyl styrene (alpha-Methylstyrene),,,02-Nov-12,cancer,LC
"?-Methyl styrene Delisted April 4, 2014 [Click for the basis for delisting]",,,29-Jul-11,female,LC
Michler's ketone,,,01-Jan-88,cancer,SQE
Midazolam hydrochloride,,,01-Jul-90,developmental,FR
Minocycline hydrochloride (internal use),,,01-Jan-92,developmental,FR
Mitoxantrone hydrochloride,,,23-Jan-15,cancer,FR
Mitoxantrone hydrochloride,,,01-Jul-90,developmental,FR
"MON 4660 (dichloroacetyl-1-oxa-4-azaspiro(4,5)-decane",,,22-Mar-11,cancer,AB
MON 13900 (furilazole),,,22-Mar-11,cancer,AB
"3-Monochloropropane-1,2-diol (3-MCPD)",,,08-Oct-10,cancer,SQE
5-(Morpholinomethyl)-3-[(5-nitrofurfuryl-idene)-amino]-2-oxazolidinone,,,01-Apr-88,cancer,SQE
MX (3-chloro-4-dichloromethyl-5-hydroxy-2(5H)-furanone),,,22-Dec-00,cancer,SQE
Nafarelin acetate,,,01-Apr-90,developmental,FR
Nalidixic acid,,,15-May-98,cancer ,AB
Neomycin sulfate (internal use),,,01-Oct-92,developmental,FR
Netilmicin sulfate,,,01-Jul-90,developmental,FR
Nickel (Metallic),,,01-Oct-89,cancer,LC
Nickel acetate,,,01-Oct-89,cancer,LC
Nickel carbonate,,,01-Oct-89,cancer,LC
Nickel carbonyl ,,,01-Oct-87,cancer,SQE
Nickel carbonyl ,,,01-Sep-96,developmental,AB
Nickel (soluble compounds),,,26-Oct-18,"developmental, male ",SQE
Nickel hydroxide,,,01-Oct-89,cancer,LC
Nickel oxide,,,01-Oct-89,cancer,LC
Nickel refinery dust from the pyrometallurgical process,,,01-Oct-87,cancer,SQE
Nickel subsulfide,,,01-Oct-87,cancer,SQE
"Nitrapyrin [Basis for listing changed effective on November 4, 2015]",,,05-Oct-05,cancer ,SQE
Nitrilotriacetic acid,,,01-Jan-88,cancer,SQE
"Nitrilotriacetic acid, trisodium salt monohydrate",,,01-Apr-89,cancer,SQE
"5-Nitro-o-anisidine Delisted December 8, 2006 [Click here for the basis for delisting]",,,01-Oct-89,cancer,LC
para-Nitroanisole,,,13-Sep-19,cancer,LC
Nitrofen (technical grade),,,01-Jan-88,cancer,SQE
1-[(5-Nitrofurfurylidene)-amino]-2-imidazolidinone,,,01-Apr-88,cancer,SQE
N-[4-(5-Nitro-2-furyl)-2-thiazolyl]acetamide,,,01-Apr-88,cancer,SQE
Nitrogen mustard (Mechlorethamine),,,01-Jan-88,cancer,SQE
Nitrogen mustard (Mechlorethamine),,,01-Jan-89,developmental,SQE
Nitrogen mustard hydrochloride (Mechlorethamine hydrochloride),,,01-Apr-88,cancer,SQE
Nitrogen mustard hydrochloride (Mechlorethamine hydrochloride),,,01-Jul-90,developmental,FR
Nitrogen mustard N-oxide,,,01-Apr-88,cancer,SQE
Nitrogen mustard N-oxide hydrochloride,,,01-Apr-88,cancer,SQE
Nitromethane ,,,01-May-97,cancer ,AB
N-Nitrosodi-n-butylamine,,,01-Oct-87,cancer,SQE
N-Nitrosodiethanolamine,,,01-Jan-88,cancer,SQE
N-Nitrosodiethylamine,,,01-Oct-87,cancer,SQE
N-Nitrosodimethylamine,,,01-Oct-87,cancer,SQE
N-Nitrosodi-n-propylamine,,,01-Jan-88,cancer,SQE
N-Nitroso-N-ethylurea,,,01-Oct-87,cancer,SQE
4-(N-Nitrosomethylamino)-1-(3-pyridyl)1-butanone,,,01-Apr-90,cancer,AB
N-Nitrosomethylethylamine,,,01-Oct-89,cancer,LC
N-Nitrosomethyl-n-heptylamine  ,,,26-Dec-14,cancer,SQE
N-Nitrosomethyl-n-nonylamine ,,,26-Dec-14,cancer,SQE
N-Nitroso-N-methylurea,,,01-Oct-87,cancer,SQE
N-Nitroso-N-methylurethane,,,01-Apr-88,cancer,SQE
N-Nitrosomorpholine,,,01-Jan-88,cancer,SQE
N-Nitrosonornicotine,,,01-Jan-88,cancer,SQE
N-Nitrosopiperidine,,,01-Jan-88,cancer,SQE
N-Nitrosopyrrolidine,,,01-Oct-87,cancer,SQE
"Nitrous oxide [Basis for listing changed effective November 8, 2013]",,,01-Aug-08,"developmental, female",AB
Norethisterone (Norethindrone) ,,,01-Oct-89,cancer,LC
Norethisterone (Norethindrone) ,,,01-Apr-90,developmental,FR
Norethisterone acetate (Norethindrone acetate),,,01-Oct-91,developmental,FR
Norethisterone (Norethindrone) /Ethinyl estradiol,,,01-Apr-90,developmental,FR
"Oral contraceptives, combined",,,01-Oct-89,cancer,LC
"Oral contraceptives, sequential",,,01-Oct-89,cancer,LC
Oxazepam ,,,01-Oct-94,cancer,AB
Oxazepam ,,,01-Oct-92,developmental,FR
"p,p'-Oxybis(benzenesulfonyl hydrazide)  Delisted December 13, 2013 [Click here for the basis for delisting]",,,07-Aug-09,developmental ,LC
Oxydemeton methyl,,,06-Nov-98,"female, male ",AB
Oxymetholone ,,,01-Jan-88,cancer,SQE
Oxymetholone ,,,01-May-97,developmental ,FR
Oxytetracycline (internal use),,,01-Jan-91,developmental,FR
Oxytetracycline hydrochloride (internal use),,,01-Oct-91,developmental,FR
Oxythioquinox (Chinomethionat),,,20-Aug-99,cancer ,AB
Oxythioquinox (Chinomethionat),,,06-Nov-98,developmental ,AB
pentabromodiphenyl ether mixture [DE-71 (technical grade)],,,07-Jul-17,cancer,AB
Pentobarbital sodium,,,01-Jul-90,developmental,FR
Pentosan polysulfate sodium,,,18-Apr-14,cancer,LC
Perfluorooctane sulfonate (PFOS),,,10-Nov-17,developmental,AB
Perfluorooctanoic acid (PFOA),,,10-Nov-17,developmental,AB
Phenazopyridine hydrochloride,,,01-Jan-88,cancer,SQE
Phenoxybenzamine hydrochloride,,,01-Apr-88,cancer,SQE
   o-Phenylenediamine,,,,,
   o-Phenylenediamine dihydrochloride,,,,,
Phenyl glycidyl ether,,,01-Oct-90,cancer,AB
"Phenyl glycidyl ether   
Delisted April 4, 2014 [Click here  for the basis for delisting]",,,07-Aug-09,male ,LC
Phenylhydrazine and its salts,,,01-Jul-92,cancer,AB
   Phenylhydrazine,,,,,
   Phenylhydrazine hydrochloride,,,,,
"o-Phenylphenate, sodium",,,01-Jan-90,cancer,AB
"Phenylphosphine [Basis for listing changed effective June 6, 2014]",,,07-Aug-09,"developmental, male",LC SQE
"PhiP(2-Amino-1-methyl-6-phenylimidazol[4,5-b]pyridine)",,,01-Oct-94,cancer,AB
Polybrominated biphenyls,,,01-Jan-88,cancer,SQE
Polybrominated biphenyls,,,01-Oct-94,developmental,AB
Polychlorinated biphenyls,,,01-Oct-89,cancer,LC
Polychlorinated biphenyls,,,01-Jan-91,developmental,SQE
Polychlorinated dibenzo-p-dioxins,,,01-Oct-92,cancer,FR
Polychlorinated dibenzofurans,,,01-Oct-92,cancer,FR
Polygeenan,,,01-Jan-88,cancer,SQE
Potassium bromate,,,01-Jan-90,cancer,AB
Potassium dimethyldithiocarbamate,,,30-Mar-99,developmental ,AB
Pravastatin sodium,,,03-Mar-00,developmental ,FR
Prednisolone sodium phosphate,,,20-Aug-99,developmental ,FR
Procarbazine hydrochloride,,,01-Jan-88,cancer,SQE
Procarbazine hydrochloride,,,01-Jul-90,developmental,FR
"1,3-Propane sultone",,,01-Jan-88,cancer,SQE
Propylene glycol mono-t-butyl ether,,,11-Jun-04,cancer ,AB
Propylene oxide,,,01-Oct-88,cancer,SQE
"Retinol/retinyl esters, when in daily dosages in excess of 10,000 IU, or 3,000 retinol equivalents.  (NOTE:  Retinol/retinyl esters are required and essential for maintenance of normal reproductive function.  The recommended daily level during pregnancy is 8,000 IU.)",,,01-Jul-89,developmental,SQE
"Saccharin  Delisted April 6, 2001  [Click here for the basis for delisting]",,,01-Oct-89,cancer,LC
"Saccharin, sodium  Delisted January 17, 2003 [Click here for the basis for delisting]",,,01-Jan-88,cancer,SQE
Secobarbital sodium ,,,01-Oct-92,developmental,FR
Selenium sulfide,,,01-Oct-89,cancer,LC
Sermorelin acetate,,,20-Aug-99,developmental ,FR
"Silica, crystalline (airborne particles of respirable size)",,,01-Oct-88,cancer,SQE
Sodium fluoroacetate,,,06-Nov-98,male ,AB
Streptomycin sulfate,,,01-Jan-91,developmental,FR
Streptozocin (streptozotocin),,,20-Aug-99,"developmental, female, male ",FR
Streptozotocin (streptozocin),,,01-Jan-88,cancer,SQE
Styrene oxide,,,01-Oct-88,cancer,SQE
Sulfasalazine (Salicylazosulfapyridine),,,15-May-98,cancer ,AB
Sulfasalazine (Salicylazosulfapyridine),,,29-Jan-99,male ,FR
Sulfur dioxidee,,,29-Jul-11,developmental,SQE
Tamoxifen citrate,,,01-Jul-90,developmental,FR
Testosterone cypionate,,,01-Oct-91,developmental,FR
Testosterone enanthate,,,01-Apr-90,developmental,FR
"2,3,7,8-Tetrachlorodibenzo-p-dioxin (TCDD)",,,01-Jan-88,cancer,SQE
"2,3,7,8-Tetrachlorodibenzo-p-dioxin (TCDD)",,,01-Apr-91,developmental,AB
Tetrachloroethylene (Perchloroethylene),,,01-Apr-88,cancer,SQE
Tetracycline (internal use),,,01-Oct-91,developmental,FR
Tetracyclines (internal use),,,01-Oct-92,developmental,FR
Tetracycline hydrochloride (internal use),,,01-Jan-91,developmental,FR
Thiophanate methyl,,,18-May-99,"female, male ",AB
Thorium dioxide,,,27-Feb-87,cancer,LC
Tobacco smoke,,,01-Apr-88,cancer,SQE
Tobacco smoke (primary),,,01-Apr-88,"developmental, female, male",SQE
Tobramycin sulfate,,,01-Jul-90,developmental,FR
"Toluene [Click here for the basis for the removal of female reproductive endpoint effective March 7, 2014]",,,07-Aug-09,female ,LC
Toluene diisocyanate,,,01-Oct-89,cancer,LC
o-Toluidine hydrochloride,,,01-Jan-88,cancer,SQE
"para-Toluidine  Delisted October 29, 1999 [Click here for the basis for delisting]",,,01-Jan-90,cancer,AB
Toxaphene (Polychlorinated camphenes),,,01-Jan-88,cancer,SQE
"S,S,S-Tributyl phosphorotrithioate (Tribufos, DEF)",,,25-Feb-11,cancer,AB
Tributyltin methacrylate,,,01-Dec-99,developmental ,AB
Trichlormethine (Trimustine hydrochloride),,,01-Jan-92,cancer,AB
Trichloroacetic acid,,,13-Sep-13,cancer,LC
Trientine hydrochloride,,,27-Feb-01,developmental ,FR
"1,3,5-Triglycidyl-s-triazinetrione  Delisted December 13, 2013 [Click here for the basis for delisting]",,,07-Aug-09,male ,LC
Trimethyl phosphate,,,01-May-96,cancer,AB
Trimetrexate glucuronate,,,26-Aug-97,developmental ,FR
TRIM® VX,,,25-May-18,cancer,AB
"2,4,6-Trinitrotoluene (TNT)",,,19-Dec-08,cancer ,SQE
Triphenyltin hydroxide,,,01-Jul-92,cancer,AB
Triphenyltin hydroxide,,,18-Mar-02,developmental ,AB
"Tris(aziridinyl)-p-benzoquinone (Triaziquone) Delisted December 8, 2006 [Click here for the basis for delisting]",,,01-Oct-89,cancer,LC
Tris(1-aziridinyl)phosphine sulfide (Thiotepa),,,01-Jan-88,cancer,SQE
Tris(2-chloroethyl) phosphate,,,01-Apr-92,cancer,AB
"Tris(2,3-dibromopropyl)phosphate",,,01-Jan-88,cancer,SQE
"Tris(1,3-dichloro-2-propyl) phosphate (TDCPP)",,,28-Oct-11,cancer,SQE
Trypan blue (commercial grade),,,01-Oct-89,cancer,LC
Unleaded gasoline (wholly vaporized),,,01-Apr-88,cancer,SQE
Uracil mustard,,,01-Apr-88,cancer,SQE
Uracil mustard,,,01-Jan-92,"developmental, female, male",FR
Urethane (Ethyl carbamate),,,01-Jan-88,cancer,SQE
Urethane (Ethyl carbamate),,,01-Oct-94,developmental,AB
Valproate (Valproic acid),,,01-Jul-87,developmental,SQE
Vanadium pentoxide (orthorhombic crystalline form),,,11-Feb-05,cancer ,AB
Vinblastine sulfate,,,01-Jul-90,developmental,FR
"Vinclozolin [basis for listing changed on November 16, 2006]",,,20-Aug-99,cancer ,SQE
Vincristine sulfate,,,01-Jul-90,developmental,FR
Vinyl bromide,,,01-Oct-88,cancer,SQE
"4-Vinylcyclohexene [Click here for the basis for the removal of male reproductive endpoint, effective December 20, 2013 ]",,,07-Aug-09,"female, male ",SQE
4-Vinyl-1-cyclohexene diepoxide (Vinyl cyclohexenedioxide),,,01-Jul-90,cancer,AB
"Vinyl cyclohexene dioxide (4-Vinyl-1-cyclohexene diepoxide) [Click here for the basis for the removal of male reproductive endpoint, effective December 20, 2013]",,,01-Aug-08,"female, male ",SQE
Vinyl fluoride,,,01-May-97,cancer,AB
"Vinylidene chloride 
(1,1-Dichloroethylene)",,,29-Dec-17,cancer,LC
"Vinyl trichloride (1,1,2-Trichloroethane)",,,01-Oct-90,cancer,AB
Wood dust,,,18-Dec-09,cancer ,LC
"2,6-Xylidine (2,6-Dimethylaniline)",,,01-Jan-91,cancer,AB
Zidovudine (AZT),,,18-Dec-09,cancer ,LC
Zileuton ,,,22-Dec-00,"cancer, developmental, female",FR
"Zineb  Delisted October 29, 1999 [Click here for the basis for delisting]",,,01-Jan-90,cancer,AB
"a Where a source or product results in exposures by multiple routes, the total exposure must be considered.  For example, the MADL for benzene is exceeded when the absorbed dose exceeds 24 µg/day.  If only inhalation and oral exposure occurs, the benzene MADL is exceeded when:  (oral dose ÷ 24 µg/day) + (inhalation dose ÷ 49 µg/day) > 1.0.",,,,,
b Levels for male children and adolescents were calculated by application of the default bodyweights specified in Section 25703(a)(8) to the procedure specified in Sections 25801 and 25803,,,,,
"c Level represents absorbed dose (rounded from 6,525 µg/day ).  Since 100% of ingested toluene is absorbed, oral dose is equivalent to administered dose.  It is assumed that roughly 50% of the dose administered by the inhalation route is absorbed.  Therefore the MADL for inhaled toluene is 13,000 µg/day (rounded from 13,050 µg/day ), corresponding to an absorbed dose of 6,525 µg/day.",,,,,
"d Butyl benzyl phthalate MADL was adopted June 25, 2013, but pursuant to Government Code section 11343.4 it becomes effective October 1, 2013.",,,,,
"e Sulfur dioxide MADL was adopted July 11, 2013, but pursuant to Government Code section 11343.4 it becomes effective October 1, 2013.",,,,,
"f Hydrogen cyanide and cyanide salts MADLs were adopted on August 7, 2013, but pursuant to Government Code section 11343.4 they become effective October 1, 2013.",,,,,
